Action,Data,Expected Result
Launch Browser → Goto URL & login with valid credentials,[http://www.stage.astm.org|http://www.stage.astm.org],User should navigate to My ASTM home page
Go to Standards & Solutions -> Laboratory Services -> Proficiency Testing Program,,User should navigate to Proficiency Testing Program page
"Add any PTP to cart. Steps: -

Click on Register for a Program → Scroll down on the page & Check any of the listed PTP program -> Click on Register For this Program button",,"Page should automatically get scroll up and display a confirmation message stating
""*You added Product/s to your shopping cart*."""
"Remove Product from Cart and add a new PTP to cart. 

Steps: -

Goto Cart Page → Click on Delete to Remove product from Cart

Again, Go to Standards & solutions -> Laboratory Services -> Proficiency Testing

Click on any link under Proficiency Testing programs.

Click on Register for this Program button",,"On Delete, Product should get removed & Cart page should show *Your cart is empty*

Again after clicking on Register for this program button, user should get confirmation message like ""You added <Program name>your shopping cart."
Verify the Product name and cost of the product in the Cart page,,The product name and cost displayed on the Cart page should exactly match the product name and cost shown on the specific product page.
"Verify User is not able to add more than 1 quantity for the specific program in cart page.Steps:-

# Change quantity field on cart page from 1 to 2.
# Click on ""Update quantity"" button",,"User should get a below pop up message:-
""Only 1 PTP program allowed in the cart"""
"Again, Go to Standards & solutions -> Laboratory Services -> Proficiency Testing

Click on any link under Proficiency Testing programs.

Click on Register for this Program button",,Product should be added to the cart
"On Clicking Checkout button user navigates to the ""Terms"" page",,"User should be navigated to ""Ptp Terms "" page."
"When User click "" Accept Terms"" on Ptp Terms Page.",,User should land on create account page.
"Now fill all the mandatory data on ""Create an Account""page and click on ""Create Account"" button",,"After clicking on ""Create Account"" button user should land on Billing Page."
"Now on Billing page Select any Non-Prepaid country other than U.S. from the country drop-down menu and select ""Ship to same address and different contact person"". Click on ""Continue"" button",Eg: Australia,"On clicking Continue button User should navigate to the ""Contact Person"" page"
Verify Billing page for hazardous product.,,"User should get blow warning message for hazardous product.

""One or more of the products in your cart contains a hazardous material. Many shippers have specific regulations about shipping hazardous materials. DHL specifically has strict regulations about shipping hazardous materials. Please check with your shipper to make sure you are in compliance with regulations."""
Verify warning message for international shipping required product.,,"User  should get below warning message for international shipping required product.

""One or more of the programs that you have selected requires either a freight forwarder or a shipping courier service in order to ship the products internationally. Please add either type of shipper. You can still proceed on this site without purchasing the above products."""
